Gene,Non-unique Gene name,Annotation,Gardnerella_greenwoodii_00703Dmash,Gardnerella_greenwoodii_101,Gardnerella_greenwoodii_c31Ua_26,Gardnerella_greenwoodii_UMB1686,Gardnerella_leopoldii_Ugent_06.41,Gardnerella_leopoldii_UMB0682,Gardnerella_leopoldii_UMB0742,Gardnerella_leopoldii_UMB0913,Gardnerella_leopoldii_UMB1489,Gardnerella_pickettii_00703Bmash,Gardnerella_pickettii_00703C2mash,Gardnerella_pickettii_c17Ua_112,Gardnerella_pickettii_GED7275B,Gardnerella_pickettii_JCP7659,Gardnerella_pickettii_JCP7719,Gardnerella_pickettii_JCP8017A,Gardnerella_pickettii_JCP8017B,Gardnerella_pickettii_UMB0830,Gardnerella_pickettii_UMB0833,Gardnerella_pickettii_UMB9259,Gardnerella_piotii_GH007,Gardnerella_piotii_GH020,Gardnerella_piotii_JNFY15,Gardnerella_piotii_UGent_18.01,Gardnerella_swidsinskii_GS_9838-1,Gardnerella_swidsinskii_GV37,Gardnerella_swidsinskii_JNFY3,Gardnerella_swidsinskii_UMB0170,Gardnerella_swidsinskii_UMB0264,Gardnerella_swidsinskii_UMB0411,Gardnerella_swidsinskii_UMB1698,Gardnerella_vaginalis_0288E,Gardnerella_vaginalis_1400E,Gardnerella_vaginalis_1500E,Gardnerella_vaginalis_284V,Gardnerella_vaginalis_315-A,Gardnerella_vaginalis_55152,Gardnerella_vaginalis_6119V5,Gardnerella_vaginalis_75712,Gardnerella_vaginalis_ATCC_14018-2,Gardnerella_vaginalis_ATCC_14018-3,Gardnerella_vaginalis_ATCC_14018,Gardnerella_vaginalis_ATCC_14019,Gardnerella_vaginalis_HMP9231
rpmH,rpmH,50S ribosomal protein L34,KJLOJH_00770,LNJOGA_04280,HJJLOO_04615,EPDCMN_05195,GPKCOC_05380,IHLOPM_03680,CLAOCJ_05475,GHNAGB_00320,IJGNPO_00325,KPEAED_03245,ELBENF_00640,LGGJCL_05325,DIAHAC_03175,IBBMBI_04520,,EHJGFL_00605,IKLBLD_01120,LFGIBF_00355,BMHCBD_02610,HEOCGC_03430,HIANCF_03900,PHGDKJ_00390,LJKDMD_03250,LEAIBD_00370,AJAHNJ_00345,PKJNEJ_00230,AMDBBD_03425,GPDHPC_04815,JCPCII_01380,NBEOAO_04475,PCCNPO_04740,PHLMCF_01230,PKBKFP_00650,PIBPLO_00510,ANPMBA_05010,BAFCMA_06005,BLBGDF_00475,EHBDBJ_03020,HJLJNF_00830,BAJPIG_00400,APGEGG_01835,NEBDOP_06620,MGPBOF_00630,DFCAKE_06870
group_1451,;fAA1,Long-chain-fatty acid CoA ligase;Long-chain acyl-CoA synthetase (AMP-forming);hypothetical protein;AMP-binding protein,KJLOJH_04475,LNJOGA_03315,HJJLOO_00210,EPDCMN_01925,GPKCOC_02895,IHLOPM_01975,CLAOCJ_02125,GHNAGB_03805,IJGNPO_03715,KPEAED_02335,ELBENF_04455,LGGJCL_02075,DIAHAC_05525,IBBMBI_04145,EIINPM_03140,EHJGFL_03390,IKLBLD_01605,LFGIBF_03715,BMHCBD_00485,HEOCGC_02710,HIANCF_00555;HIANCF_00560,PHGDKJ_03705;PHGDKJ_03710,LJKDMD_00325,LEAIBD_03630,AJAHNJ_02570,PKJNEJ_04695,AMDBBD_00730,GPDHPC_00335,,NBEOAO_00825,PCCNPO_01895,PHLMCF_05150,PKBKFP_06230,PIBPLO_01015,ANPMBA_00215,BAFCMA_02705,BLBGDF_01205,EHBDBJ_04915,HJLJNF_04140,BAJPIG_03690,APGEGG_02440,NEBDOP_03325,MGPBOF_04010,DFCAKE_03735
pncB,pncB;,nicotinate phosphoribosyltransferase;Nicotinate phosphoribosyltransferase,KJLOJH_05665,LNJOGA_05850,HJJLOO_03535,EPDCMN_00755,GPKCOC_00505,IHLOPM_05035,CLAOCJ_04150,GHNAGB_01660,IJGNPO_01675,KPEAED_05235,ELBENF_01900,LGGJCL_03780,DIAHAC_02240,,EIINPM_06070,EHJGFL_01160,IKLBLD_00415,LFGIBF_02075,BMHCBD_05975,HEOCGC_00990,HIANCF_02245,PHGDKJ_02030,LJKDMD_04880,LEAIBD_01995,AJAHNJ_01815,PKJNEJ_01775,AMDBBD_04820,GPDHPC_03645,JCPCII_04675,NBEOAO_03070,PCCNPO_03320,PHLMCF_03660,PKBKFP_05155,PIBPLO_02150,ANPMBA_04105,BAFCMA_05535,BLBGDF_02330,EHBDBJ_03840,HJLJNF_02515,BAJPIG_02165,APGEGG_05910,NEBDOP_04850,MGPBOF_05590,DFCAKE_01955
ffh,ffh;,signal recognition particle protein;hypothetical protein;Signal recognition particle protein,KJLOJH_05655,LNJOGA_05840,HJJLOO_03545,EPDCMN_00745,GPKCOC_00495,IHLOPM_05025,CLAOCJ_04160,GHNAGB_01650,IJGNPO_01665,KPEAED_05225,ELBENF_01910,LGGJCL_03790,DIAHAC_02230,IBBMBI_02740,EIINPM_03610,EHJGFL_02860,,LFGIBF_02065,BMHCBD_05965,HEOCGC_01000,HIANCF_02255,PHGDKJ_02020,LJKDMD_04870,LEAIBD_01985,AJAHNJ_01805,PKJNEJ_01765,AMDBBD_04810,GPDHPC_03635,JCPCII_04665,NBEOAO_03080,PCCNPO_03330,PHLMCF_03645,PKBKFP_05140,PIBPLO_02160,ANPMBA_04120,BAFCMA_05550,BLBGDF_02345,EHBDBJ_03830,HJLJNF_02500,BAJPIG_02150,APGEGG_05895,NEBDOP_04865,MGPBOF_05605,DFCAKE_01940
spoT,spoT;,(p)ppGpp synthase/hydrolase HD superfamily;Bifunctional (P)ppGpp synthetase/guanosine-3'5'-bis(Diphosphate) 3'-pyrophosphohydrolase,KJLOJH_04160,LNJOGA_03000,HJJLOO_00555,EPDCMN_02270,GPKCOC_02495,IHLOPM_02375,CLAOCJ_02520,GHNAGB_03405,IJGNPO_03300,KPEAED_05995,ELBENF_01180,LGGJCL_03010,DIAHAC_04600,IBBMBI_05115,EIINPM_00320,EHJGFL_02475,IKLBLD_03645,LFGIBF_02795,BMHCBD_01415,HEOCGC_05985,HIANCF_01450,PHGDKJ_02825,LJKDMD_05570,LEAIBD_02780,AJAHNJ_05260,PKJNEJ_03870,AMDBBD_00235,GPDHPC_00920,JCPCII_03175,NBEOAO_01320,PCCNPO_05830,PHLMCF_05775,PKBKFP_04660,,ANPMBA_02395,BAFCMA_01175,BLBGDF_03460,EHBDBJ_01735,HJLJNF_05055,BAJPIG_04575,APGEGG_04610,NEBDOP_02440,MGPBOF_03120,DFCAKE_04530
group_1351,nikD;,nickel import ATP-binding protein NikD;Dipeptide/oligopeptide/nickel ABC transporter ATP-binding protein;ABC transporter ATP-binding protein,,LNJOGA_00250,HJJLOO_03255,EPDCMN_01035,GPKCOC_03795,IHLOPM_01085,CLAOCJ_01220,GHNAGB_04695,IJGNPO_04610,KPEAED_01900,ELBENF_04890,LGGJCL_01640,DIAHAC_05960,IBBMBI_03710,EIINPM_03575,EHJGFL_02955,IKLBLD_02040,LFGIBF_04150,BMHCBD_00050,HEOCGC_03145,HIANCF_00085,PHGDKJ_04170,LJKDMD_00765,LEAIBD_04080,AJAHNJ_03465,PKJNEJ_05610,AMDBBD_01640,GPDHPC_02645,JCPCII_03855,NBEOAO_05755,PCCNPO_00935,PHLMCF_04610,PKBKFP_06775,PIBPLO_00970,ANPMBA_04295,BAFCMA_02170,BLBGDF_01750,EHBDBJ_05820,HJLJNF_03605,BAJPIG_03150,APGEGG_02985,NEBDOP_03865,MGPBOF_04560,DFCAKE_03190
nucS,nucS,endonuclease NucS,KJLOJH_01190,LNJOGA_04690,HJJLOO_05045,EPDCMN_04765,GPKCOC_05780,IHLOPM_04080,CLAOCJ_05075,GHNAGB_00720,IJGNPO_00725,KPEAED_03040,ELBENF_00440,LGGJCL_05135,DIAHAC_03365,IBBMBI_04900,,EHJGFL_03790,IKLBLD_02305,LFGIBF_00565,BMHCBD_02815,HEOCGC_03225,HIANCF_03705,PHGDKJ_00585,LJKDMD_03460,LEAIBD_00565,AJAHNJ_00755,PKJNEJ_00790,AMDBBD_03845,GPDHPC_05235,JCPCII_00205,NBEOAO_04055,PCCNPO_04330,PHLMCF_00760,PKBKFP_01085,PIBPLO_00080,ANPMBA_05490,BAFCMA_06475,BLBGDF_00925,EHBDBJ_02580,HJLJNF_01275,BAJPIG_00845,APGEGG_01385,NEBDOP_06175,MGPBOF_00175,DFCAKE_06405
merR~~~soxR,merR;soxR,Putative transcriptional regulator MerR family protein;Transcriptional regulator MerR family;DNA-binding transcriptional regulator MerR family,KJLOJH_02175,LNJOGA_05375,HJJLOO_05630,EPDCMN_05720,GPKCOC_04840,IHLOPM_05975,CLAOCJ_00200,GHNAGB_05710,IJGNPO_05620,KPEAED_03840,ELBENF_05180,LGGJCL_05860,DIAHAC_02725,,EIINPM_02440,EHJGFL_05720,IKLBLD_06475,LFGIBF_06065,BMHCBD_06270,HEOCGC_05110,HIANCF_04475,PHGDKJ_06025,LJKDMD_02700,LEAIBD_05885,AJAHNJ_06130,PKJNEJ_06980,AMDBBD_02860,GPDHPC_05735,JCPCII_05285,NBEOAO_05975,PCCNPO_06245,PHLMCF_06130,PKBKFP_02420,PIBPLO_05390,ANPMBA_02785,BAFCMA_01435,BLBGDF_06245,EHBDBJ_04565,HJLJNF_00275,BAJPIG_06335,APGEGG_05565,NEBDOP_00665,MGPBOF_01305,DFCAKE_06280
group_1134,dnaJ;,Chaperone protein DnaJ;DnaJ domain protein;DnaJ-class molecular chaperone with C-terminal Zn finger domain;hypothetical protein,KJLOJH_02180,LNJOGA_05370,HJJLOO_05625,EPDCMN_05715,GPKCOC_04845,IHLOPM_05970,CLAOCJ_00195,GHNAGB_05715,IJGNPO_05625,KPEAED_03835,ELBENF_05175,LGGJCL_05855,DIAHAC_02720,,EIINPM_02445,EHJGFL_05725,IKLBLD_06470,LFGIBF_06070,BMHCBD_06275,HEOCGC_05105,HIANCF_04470,PHGDKJ_06030,LJKDMD_02705,LEAIBD_05880,AJAHNJ_06125,PKJNEJ_06985,AMDBBD_02865,GPDHPC_05730,JCPCII_05280,NBEOAO_05970,PCCNPO_06240,PHLMCF_06125,PKBKFP_02425,PIBPLO_05395,ANPMBA_02790,BAFCMA_01430,BLBGDF_06240,EHBDBJ_04560,HJLJNF_00270,BAJPIG_06340,APGEGG_05570,NEBDOP_00660,MGPBOF_01300,DFCAKE_06285
group_1072,,DUF2530 domain-containing protein,KJLOJH_02765,LNJOGA_01410,HJJLOO_01835,EPDCMN_03550,GPKCOC_00815,,CLAOCJ_03845,GHNAGB_02005,IJGNPO_01980,KPEAED_01005,ELBENF_02370,LGGJCL_00970,DIAHAC_01070,IBBMBI_04755,EIINPM_04055,EHJGFL_05590,IKLBLD_03895,LFGIBF_04915,BMHCBD_04765,HEOCGC_04525,HIANCF_05620,PHGDKJ_04895,LJKDMD_01580,LEAIBD_04775,AJAHNJ_02125,PKJNEJ_02080,AMDBBD_05125,GPDHPC_03955,JCPCII_04475,NBEOAO_02765,PCCNPO_03015,PHLMCF_02085,PKBKFP_04220,PIBPLO_04350,ANPMBA_01975,BAFCMA_04040,BLBGDF_03870,EHBDBJ_04290,HJLJNF_05490,BAJPIG_05000,APGEGG_00355,NEBDOP_02005,MGPBOF_02670,DFCAKE_04955
group_1025,ccmA,heme ABC exporter ATP-binding protein CcmA,KJLOJH_05700,LNJOGA_05885,HJJLOO_03500,EPDCMN_00790,GPKCOC_00540,IHLOPM_05070,CLAOCJ_04115,GHNAGB_01695,IJGNPO_01710,KPEAED_04935,ELBENF_05340,LGGJCL_04035,DIAHAC_04465,,EIINPM_01850,EHJGFL_01745,IKLBLD_04425,LFGIBF_01700,BMHCBD_03945,HEOCGC_01340,HIANCF_02595,PHGDKJ_01680,LJKDMD_04535,LEAIBD_01645,AJAHNJ_01850,PKJNEJ_01810,AMDBBD_04855,GPDHPC_03680,JCPCII_04710,NBEOAO_03035,PCCNPO_03285,PHLMCF_02790,PKBKFP_05560,PIBPLO_02115,ANPMBA_01270,BAFCMA_04745,BLBGDF_06445,EHBDBJ_03875,HJLJNF_06190,BAJPIG_05700,APGEGG_01060,NEBDOP_01300,MGPBOF_01960,DFCAKE_05650
group_861,;nfnB,Nitroreductase;hypothetical protein,KJLOJH_02310,LNJOGA_05235,,EPDCMN_05595,GPKCOC_04980,IHLOPM_05835,CLAOCJ_00060,GHNAGB_05850,IJGNPO_05760,KPEAED_03695,ELBENF_05055,LGGJCL_05750,DIAHAC_02615,IBBMBI_02875,EIINPM_05590,EHJGFL_02765,IKLBLD_03795,LFGIBF_06190,BMHCBD_06400,HEOCGC_04985,HIANCF_04355,PHGDKJ_06145,LJKDMD_02805,LEAIBD_05770,AJAHNJ_06000;AJAHNJ_06005,PKJNEJ_07110;PKJNEJ_07105,AMDBBD_02985,GPDHPC_05985;GPDHPC_05980,JCPCII_05535;JCPCII_05530,NBEOAO_06255,PCCNPO_06115;PCCNPO_06120,PHLMCF_05975,PKBKFP_02570,PIBPLO_05525,ANPMBA_02910,BAFCMA_01305,BLBGDF_06105,EHBDBJ_04435,HJLJNF_00120,BAJPIG_06485,APGEGG_05720,NEBDOP_00515,MGPBOF_01155,DFCAKE_00520
truA,truA,tRNA pseudouridine synthase A;tRNA pseudouridine(38-40) synthase TruA,KJLOJH_01955,LNJOGA_00955,HJJLOO_02280,EPDCMN_03995,GPKCOC_00285,IHLOPM_04810,CLAOCJ_04365,GHNAGB_01440,IJGNPO_01455,KPEAED_04795,ELBENF_05480,LGGJCL_04175,DIAHAC_04325,,EIINPM_06310,EHJGFL_00295,IKLBLD_00805,LFGIBF_01560,BMHCBD_03805,HEOCGC_01480,HIANCF_02740,PHGDKJ_01535,LJKDMD_04395,LEAIBD_01505,AJAHNJ_01575,PKJNEJ_01540,AMDBBD_04585,GPDHPC_03405,JCPCII_00910,NBEOAO_03305,PCCNPO_03560,PHLMCF_00010,PKBKFP_02795,PIBPLO_04790,ANPMBA_06130,BAFCMA_00575,BLBGDF_05670,EHBDBJ_00345,HJLJNF_01930,BAJPIG_01580,APGEGG_03970,NEBDOP_05440,MGPBOF_06180,DFCAKE_01305
group_794,ccmA,ABC-type multidrug transport system ATPase component,KJLOJH_01020,LNJOGA_04520,HJJLOO_04875,EPDCMN_04935,GPKCOC_05600,IHLOPM_03900,CLAOCJ_05255,GHNAGB_00540,IJGNPO_00545,KPEAED_03990,ELBENF_00270,LGGJCL_04970,DIAHAC_03530,IBBMBI_05815,EIINPM_06005,EHJGFL_00810,IKLBLD_00120,LFGIBF_00730,BMHCBD_02980,HEOCGC_02295,HIANCF_03540,PHGDKJ_00745,LJKDMD_03620,LEAIBD_00725,AJAHNJ_00585,PKJNEJ_00620,AMDBBD_03675,GPDHPC_05060,,NBEOAO_04225,PCCNPO_04500,PHLMCF_00925,PKBKFP_00920,PIBPLO_00250,ANPMBA_05325,BAFCMA_06640,BLBGDF_00760,EHBDBJ_02750,HJLJNF_01105,BAJPIG_00680,APGEGG_01550,NEBDOP_06340,MGPBOF_00340,DFCAKE_06570
group_577,,Orotate phosphoribosyltransferase;hypothetical protein,KJLOJH_01010,LNJOGA_04510,HJJLOO_04865,EPDCMN_04945,GPKCOC_05590,IHLOPM_03890,CLAOCJ_05265,GHNAGB_00530,IJGNPO_00535,KPEAED_04000,ELBENF_00260,LGGJCL_04960,DIAHAC_03540,IBBMBI_05805,EIINPM_06015,EHJGFL_00800,IKLBLD_00130,LFGIBF_00740,BMHCBD_02990,HEOCGC_02285,HIANCF_03530,PHGDKJ_00755,LJKDMD_03630,LEAIBD_00735,AJAHNJ_00575,PKJNEJ_00610,AMDBBD_03665,GPDHPC_05050,JCPCII_01615,NBEOAO_04235,PCCNPO_04510,PHLMCF_00935,PKBKFP_00910,PIBPLO_00260,ANPMBA_05315,,BLBGDF_00750,EHBDBJ_02760,HJLJNF_01095,BAJPIG_00670,APGEGG_01560,NEBDOP_06350,MGPBOF_00355,DFCAKE_06580
gatB,;gatB,hypothetical protein;Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,KJLOJH_01045,LNJOGA_04545,HJJLOO_04900,EPDCMN_04910,GPKCOC_05635,IHLOPM_03935,CLAOCJ_05220,GHNAGB_00575,IJGNPO_00580,KPEAED_03965,ELBENF_00295,LGGJCL_04995,DIAHAC_03505,IBBMBI_02590,,EHJGFL_02395,IKLBLD_04310,LFGIBF_00705,BMHCBD_02960,HEOCGC_02320,HIANCF_03560,PHGDKJ_00725,LJKDMD_03600,LEAIBD_00705,AJAHNJ_00610,PKJNEJ_00645,AMDBBD_03700,GPDHPC_05085,JCPCII_01645,NBEOAO_04200,PCCNPO_04475,PHLMCF_00900,PKBKFP_00945,PIBPLO_00225,ANPMBA_05350,BAFCMA_06615,BLBGDF_00785,EHBDBJ_02725,HJLJNF_01130,BAJPIG_00705,APGEGG_01525,NEBDOP_06315,MGPBOF_00315,DFCAKE_06545
gatA,gatA,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,KJLOJH_01040,LNJOGA_04540,HJJLOO_04895,EPDCMN_04915,GPKCOC_05630,IHLOPM_03930,CLAOCJ_05225,GHNAGB_00570,IJGNPO_00575,KPEAED_03970,ELBENF_00290,LGGJCL_04990,DIAHAC_03510,,EIINPM_05985,EHJGFL_00830,IKLBLD_00100,LFGIBF_00710,BMHCBD_02965,HEOCGC_02315,HIANCF_03555,PHGDKJ_00730,LJKDMD_03605,LEAIBD_00710,AJAHNJ_00605,PKJNEJ_00640,AMDBBD_03695,GPDHPC_05080,JCPCII_01640,NBEOAO_04205,PCCNPO_04480,PHLMCF_00905,PKBKFP_00940,PIBPLO_00230,ANPMBA_05345,BAFCMA_06620,BLBGDF_00780,EHBDBJ_02730,HJLJNF_01125,BAJPIG_00700,APGEGG_01530,NEBDOP_06320,MGPBOF_00320,DFCAKE_06550
aspS,aspS,aspartate--tRNA ligase,KJLOJH_04350,LNJOGA_03185,HJJLOO_00340,EPDCMN_02055,GPKCOC_02765,IHLOPM_02105,CLAOCJ_02255,GHNAGB_03675,IJGNPO_03585,KPEAED_02500,ELBENF_04325,LGGJCL_02200,DIAHAC_05400,,EIINPM_03015,EHJGFL_03515,IKLBLD_01480,LFGIBF_03590,BMHCBD_00610,HEOCGC_02585,HIANCF_00680,PHGDKJ_03585,LJKDMD_00200,LEAIBD_03505,AJAHNJ_02435,PKJNEJ_04560,AMDBBD_00595,GPDHPC_00470,JCPCII_02105,NBEOAO_00960,PCCNPO_02030,PHLMCF_05025,PKBKFP_06355,PIBPLO_01145,ANPMBA_00090,BAFCMA_02580,BLBGDF_01330,EHBDBJ_04785,HJLJNF_04015,BAJPIG_03565,APGEGG_02565,NEBDOP_03450,MGPBOF_04140,DFCAKE_03610
group_194,,Large ribosomal subunit protein uL5,KJLOJH_01875,LNJOGA_00875,HJJLOO_02360,EPDCMN_04075,GPKCOC_00205,IHLOPM_04730,CLAOCJ_04445,GHNAGB_01360,IJGNPO_01375,KPEAED_04715,ELBENF_05560,LGGJCL_04255,DIAHAC_04245,IBBMBI_02025,EIINPM_02520,EHJGFL_01070,,LFGIBF_01480,BMHCBD_03725,HEOCGC_01560,HIANCF_02820,PHGDKJ_01455,LJKDMD_04315,LEAIBD_01425,AJAHNJ_01495,PKJNEJ_01460,AMDBBD_04505,GPDHPC_03325,JCPCII_00830,NBEOAO_03385,PCCNPO_03640,PHLMCF_00090,PKBKFP_02875,PIBPLO_04870,ANPMBA_06050,BAFCMA_00495,BLBGDF_05590,EHBDBJ_00425,HJLJNF_01850,BAJPIG_01500,APGEGG_04050,NEBDOP_05520,MGPBOF_06260,DFCAKE_01225
rpmA,rpmA;,50S ribosomal protein L27;Large ribosomal subunit protein bL27,KJLOJH_00350,LNJOGA_00420,HJJLOO_04180,EPDCMN_00110,GPKCOC_04560,IHLOPM_00100,CLAOCJ_00475,GHNAGB_05450,IJGNPO_05355,KPEAED_00110,ELBENF_03785,LGGJCL_00110,DIAHAC_02470,,EIINPM_04355,EHJGFL_01825,IKLBLD_03430,LFGIBF_05765,BMHCBD_05630,HEOCGC_00370,HIANCF_04750,PHGDKJ_05745,LJKDMD_02410,LEAIBD_05610,AJAHNJ_05555,PKJNEJ_06700,AMDBBD_02575,GPDHPC_01850,JCPCII_05890,NBEOAO_04925,PCCNPO_00115,PHLMCF_06675,PKBKFP_02765,PIBPLO_03920,ANPMBA_00905,BAFCMA_05110,BLBGDF_02635,EHBDBJ_00045,HJLJNF_06550,BAJPIG_06060,APGEGG_06210,NEBDOP_00940,MGPBOF_01595,DFCAKE_06010
topA,topA,type I DNA topoisomerase,KJLOJH_02145,LNJOGA_05405,HJJLOO_05660,EPDCMN_05750,GPKCOC_04810,IHLOPM_06005,CLAOCJ_00230,GHNAGB_05680,IJGNPO_05590,KPEAED_06145,ELBENF_00160,LGGJCL_05905,DIAHAC_02770,13_refound_64_pseudo,14_refound_84_pseudo,,,LFGIBF_06015,BMHCBD_06225,HEOCGC_05155,HIANCF_04525,PHGDKJ_05975,LJKDMD_02655,LEAIBD_05935,AJAHNJ_06160,PKJNEJ_06950,AMDBBD_02830,GPDHPC_05765,JCPCII_05315,NBEOAO_06005,PCCNPO_06275,PHLMCF_06160,PKBKFP_02390,PIBPLO_05360,ANPMBA_02750,BAFCMA_01470,BLBGDF_06280,EHBDBJ_04595,HJLJNF_00305,BAJPIG_06300,APGEGG_05530,NEBDOP_00700,MGPBOF_01340,DFCAKE_06250
thrB,thrB;,homoserine kinase;hypothetical protein,KJLOJH_00375,LNJOGA_00385,HJJLOO_04220,EPDCMN_00070,GPKCOC_04590,IHLOPM_00075,CLAOCJ_00450,GHNAGB_05475,IJGNPO_05385,KPEAED_00065,ELBENF_03840,LGGJCL_00065,DIAHAC_02515,IBBMBI_06135,,,IKLBLD_03130,LFGIBF_05815,BMHCBD_05685,HEOCGC_00325,HIANCF_04720,PHGDKJ_05775,LJKDMD_02455,LEAIBD_05640,AJAHNJ_05515,PKJNEJ_06740,AMDBBD_02620,GPDHPC_01800,JCPCII_06065,NBEOAO_04885,PCCNPO_00065,PHLMCF_05865,PKBKFP_04975,PIBPLO_05020,ANPMBA_06465,BAFCMA_03350,BLBGDF_02600,EHBDBJ_00080,HJLJNF_06595,BAJPIG_06090,APGEGG_02295,NEBDOP_00910,MGPBOF_01565,DFCAKE_06045
rpsS,rpsS,30S ribosomal protein S19,KJLOJH_01835,LNJOGA_00835,HJJLOO_02400,EPDCMN_04115,GPKCOC_00165,IHLOPM_04690,CLAOCJ_04485,GHNAGB_01320,IJGNPO_01335,KPEAED_04675,ELBENF_05600,LGGJCL_04295,DIAHAC_04205,,EIINPM_01855,EHJGFL_01935,,LFGIBF_01445,BMHCBD_03685,HEOCGC_01600,HIANCF_02860,PHGDKJ_01415,LJKDMD_04275,LEAIBD_01385,AJAHNJ_01455,PKJNEJ_01420,AMDBBD_04465,GPDHPC_03285,JCPCII_00790,NBEOAO_03425,PCCNPO_03680,PHLMCF_00130,PKBKFP_02915,PIBPLO_04910,ANPMBA_06010,BAFCMA_00455,BLBGDF_05550,EHBDBJ_00465,HJLJNF_01810,BAJPIG_01460,APGEGG_04090,NEBDOP_05560,MGPBOF_06300,DFCAKE_01185
group_1184,,Tat pathway signal sequence domain protein;Sugar translocase;Transmembrane protein;ATP synthase subunit I;Integral membrane protein,KJLOJH_03530,LNJOGA_02255,HJJLOO_01300,EPDCMN_03015,GPKCOC_01685,IHLOPM_03170,CLAOCJ_03305,GHNAGB_02550;GHNAGB_02545,IJGNPO_02505,KPEAED_05765,,LGGJCL_03245,DIAHAC_00220,IBBMBI_05880,EIINPM_04625,EHJGFL_04110,IKLBLD_03240,LFGIBF_02615,BMHCBD_01710,HEOCGC_02400,HIANCF_01660,PHGDKJ_02620,LJKDMD_05360,LEAIBD_02570,AJAHNJ_02235;AJAHNJ_02230,PKJNEJ_04405,,GPDHPC_00705,JCPCII_02345,NBEOAO_01140,PCCNPO_02175,PHLMCF_04010,PKBKFP_00050,PIBPLO_03680,ANPMBA_03735,BAFCMA_05135,BLBGDF_01870,EHBDBJ_02365;EHBDBJ_02360,HJLJNF_03020,BAJPIG_02545,APGEGG_03590,NEBDOP_04470,MGPBOF_05215,DFCAKE_02580
udp,;udp,Nucleoside phosphorylase domain-containing protein;Uridine phosphorylase;hypothetical protein;Phosphorylase,KJLOJH_03445,LNJOGA_02340,,,GPKCOC_01765,IHLOPM_03090,CLAOCJ_03225,GHNAGB_02625,IJGNPO_02580,KPEAED_00705,ELBENF_02080,LGGJCL_01240,DIAHAC_00800,IBBMBI_03390,EIINPM_01025,EHJGFL_01305,IKLBLD_04850,LFGIBF_04625,BMHCBD_04475,HEOCGC_04800,HIANCF_05915,PHGDKJ_04605;PHGDKJ_04600,LJKDMD_01180,LEAIBD_04485,AJAHNJ_04500,PKJNEJ_03105,AMDBBD_05955,GPDHPC_01670,JCPCII_03315,NBEOAO_02075,PCCNPO_05095,PHLMCF_04135,PKBKFP_00205,PIBPLO_03505,ANPMBA_03625,BAFCMA_01700,BLBGDF_04880,EHBDBJ_02455,HJLJNF_03130,BAJPIG_02635,APGEGG_03500,NEBDOP_04380,MGPBOF_05125,DFCAKE_02695
rplV,rplV,50S ribosomal protein L22,KJLOJH_01840,LNJOGA_00840,HJJLOO_02395,EPDCMN_04110,GPKCOC_00170,IHLOPM_04695,CLAOCJ_04480,GHNAGB_01325,IJGNPO_01340,KPEAED_04680,ELBENF_05595,LGGJCL_04290,DIAHAC_04210,,EIINPM_01860,EHJGFL_01930,,LFGIBF_01450,BMHCBD_03690,HEOCGC_01595,HIANCF_02855,PHGDKJ_01420,LJKDMD_04280,LEAIBD_01390,AJAHNJ_01460,PKJNEJ_01425,AMDBBD_04470,GPDHPC_03290,JCPCII_00795,NBEOAO_03420,PCCNPO_03675,PHLMCF_00125,PKBKFP_02910,PIBPLO_04905,ANPMBA_06015,BAFCMA_00460,BLBGDF_05555,EHBDBJ_00460,HJLJNF_01815,BAJPIG_01465,APGEGG_04085,NEBDOP_05555,MGPBOF_06295,DFCAKE_01190
gpsA,gpsA;,Glycerol-3-phosphate dehydrogenase;hypothetical protein,KJLOJH_00395,LNJOGA_00365,HJJLOO_04240,EPDCMN_00050,GPKCOC_04610,IHLOPM_00055,CLAOCJ_00430,GHNAGB_05495,IJGNPO_05405,KPEAED_00045,ELBENF_03860,LGGJCL_00045,DIAHAC_02535,,EIINPM_04985,,IKLBLD_00830,LFGIBF_05835,BMHCBD_05705,HEOCGC_00305,HIANCF_04700,PHGDKJ_05795,LJKDMD_02475,LEAIBD_05660,AJAHNJ_05495,PKJNEJ_06760,AMDBBD_02640,GPDHPC_01780,JCPCII_06045,NBEOAO_04865,PCCNPO_00045,PHLMCF_05845,PKBKFP_04955,PIBPLO_05040,ANPMBA_06485,BAFCMA_03370,BLBGDF_02580,EHBDBJ_00100,HJLJNF_06615,BAJPIG_06110,APGEGG_02275,NEBDOP_00890,MGPBOF_01545,DFCAKE_06065
